person_id,day,dow,weekend,work_hours,screen_evening_h,sleep_hours,sleep_onset_h,steps,social_msgs,latent_stress,burnout,burnout_prob_true
0,0,0,False,8.77,2.24,6.05,23.85,5592,30,0.361,0,0.087
0,1,1,False,9.34,2.69,4.01,25.23,5951,36,0.361,0,0.087
0,2,2,False,8.0,2.3,5.51,24.91,5293,38,0.361,0,0.087
0,3,3,False,8.72,2.31,5.89,24.77,3337,17,0.361,0,0.087
0,4,4,False,7.43,1.93,5.39,22.57,5071,10,0.361,0,0.087
0,5,5,True,2.7,3.3,7.07,23.94,5285,15,0.361,0,0.087
0,6,6,True,2.58,2.56,7.48,24.48,7735,23,0.361,0,0.087
0,7,0,False,9.4,2.39,5.93,25.35,3529,28,0.361,0,0.087
0,8,1,False,10.59,1.7,5.54,23.39,5837,15,0.361,0,0.087
0,9,2,False,9.97,2.98,6.56,23.13,6302,21,0.361,0,0.087
0,10,3,False,9.04,3.88,6.2,22.89,6442,17,0.361,0,0.087
0,11,4,False,8.18,1.96,5.72,24.51,7039,36,0.361,0,0.087
0,12,5,True,2.62,2.26,6.95,23.32,6371,35,0.361,0,0.087
0,13,6,True,3.37,2.72,8.13,23.66,8558,36,0.361,0,0.087
0,14,0,False,7.91,1.92,5.37,23.14,6036,37,0.361,0,0.087
0,15,1,False,10.63,2.77,5.71,22.21,6278,31,0.361,0,0.087
0,16,2,False,9.56,3.85,7.21,24.39,4729,25,0.361,0,0.087
0,17,3,False,9.28,2.12,6.56,24.07,4539,42,0.361,0,0.087
0,18,4,False,9.48,1.55,6.07,24.01,7631,27,0.361,0,0.087
0,19,5,True,4.54,2.7,5.54,22.72,8473,42,0.361,0,0.087
0,20,6,True,4.04,3.48,7.65,24.32,5422,48,0.361,0,0.087
0,21,0,False,9.91,2.35,5.52,23.99,3665,37,0.361,0,0.087
0,22,1,False,8.42,2.81,5.65,23.59,5036,29,0.361,0,0.087
0,23,2,False,11.26,3.42,6.43,23.78,7438,42,0.361,0,0.087
0,24,3,False,8.55,2.54,4.49,24.65,9269,31,0.361,0,0.087
0,25,4,False,7.25,2.95,5.31,23.29,7112,33,0.361,0,0.087
0,26,5,True,3.23,2.19,6.82,23.48,5125,27,0.361,0,0.087
0,27,6,True,4.06,2.48,5.45,24.55,2681,26,0.361,0,0.087
0,28,0,False,8.75,2.67,6.61,24.65,5103,36,0.361,0,0.087
0,29,1,False,9.57,1.56,7.8,22.7,6801,34,0.361,0,0.087
0,30,2,False,9.65,2.29,6.85,22.61,6073,25,0.361,0,0.087
0,31,3,False,8.7,2.84,7.07,23.53,7343,31,0.361,0,0.087
0,32,4,False,8.48,2.43,5.84,23.26,6814,33,0.361,0,0.087
0,33,5,True,2.13,1.59,7.09,23.17,7242,38,0.361,0,0.087
0,34,6,True,2.45,1.74,8.2,24.06,6160,21,0.361,0,0.087
0,35,0,False,8.86,1.87,6.9,23.2,7812,26,0.361,0,0.087
0,36,1,False,8.33,2.33,3.78,23.7,5917,39,0.361,0,0.087
0,37,2,False,7.49,3.28,6.84,24.75,6093,41,0.361,0,0.087
0,38,3,False,7.9,3.01,5.43,22.54,4486,31,0.361,0,0.087
0,39,4,False,8.55,2.81,4.5,22.18,8230,40,0.361,0,0.087
0,40,5,True,2.67,2.58,7.62,24.11,7011,41,0.361,0,0.087
0,41,6,True,2.99,2.6,6.69,23.59,6204,31,0.361,0,0.087
0,42,0,False,9.41,1.96,6.82,23.05,5844,28,0.361,0,0.087
0,43,1,False,9.73,1.31,6.9,23.28,8002,26,0.361,0,0.087
0,44,2,False,9.33,3.73,5.86,24.74,6230,35,0.361,0,0.087
0,45,3,False,9.45,3.09,5.5,23.05,5214,31,0.361,0,0.087
0,46,4,False,9.15,3.01,7.27,23.05,5071,16,0.361,0,0.087
0,47,5,True,5.75,2.77,7.14,22.77,6787,36,0.361,0,0.087
0,48,6,True,3.46,3.23,8.77,23.07,5256,22,0.361,0,0.087
0,49,0,False,10.98,3.21,5.99,23.82,4947,39,0.361,0,0.087
0,50,1,False,9.0,2.43,6.65,23.65,5819,31,0.361,0,0.087
0,51,2,False,10.17,3.57,6.63,24.41,5872,23,0.361,0,0.087
0,52,3,False,10.03,2.69,4.85,23.55,6047,25,0.361,0,0.087
0,53,4,False,10.86,2.87,7.33,24.0,6294,21,0.361,0,0.087
0,54,5,True,3.73,2.59,5.5,23.38,6304,35,0.361,0,0.087
0,55,6,True,4.18,2.24,7.13,23.66,2485,26,0.361,0,0.087
1,0,0,False,10.44,2.35,6.44,22.87,8066,28,0.437,0,0.076
1,1,1,False,8.9,3.62,7.07,23.23,4654,34,0.437,0,0.076
1,2,2,False,8.23,1.54,6.39,22.72,8050,30,0.437,0,0.076
1,3,3,False,7.95,2.39,4.64,23.04,7150,51,0.437,0,0.076
1,4,4,False,9.58,2.76,6.03,23.16,8715,27,0.437,0,0.076
1,5,5,True,5.86,3.65,5.38,23.4,5184,28,0.437,0,0.076
1,6,6,True,3.69,4.61,6.01,24.15,7113,29,0.437,0,0.076
1,7,0,False,8.97,2.18,6.54,24.39,6117,34,0.437,0,0.076
1,8,1,False,10.27,3.37,6.51,22.98,4725,26,0.437,0,0.076
1,9,2,False,9.11,2.52,5.55,22.97,3149,26,0.437,0,0.076
1,10,3,False,7.39,2.21,6.06,22.84,6195,36,0.437,0,0.076
1,11,4,False,8.31,2.55,6.95,23.36,4451,41,0.437,0,0.076
1,12,5,True,4.63,3.17,7.92,22.31,8219,33,0.437,0,0.076
1,13,6,True,4.76,3.04,7.08,23.73,6739,25,0.437,0,0.076
1,14,0,False,9.72,1.86,5.92,25.67,4686,26,0.437,0,0.076
1,15,1,False,7.97,3.01,5.74,23.81,6899,22,0.437,0,0.076
1,16,2,False,9.64,3.3,7.44,24.08,10487,39,0.437,0,0.076
1,17,3,False,9.18,2.28,6.35,25.15,8190,43,0.437,0,0.076
1,18,4,False,9.64,2.06,6.9,22.92,3394,31,0.437,0,0.076
1,19,5,True,4.27,3.35,7.51,24.41,4711,28,0.437,0,0.076
1,20,6,True,2.24,1.61,7.74,23.33,7497,40,0.437,0,0.076
1,21,0,False,8.24,3.16,5.81,22.42,5810,24,0.437,0,0.076
1,22,1,False,8.42,4.0,4.99,24.28,4133,38,0.437,0,0.076
1,23,2,False,9.15,3.04,5.54,23.32,7016,46,0.437,0,0.076
1,24,3,False,9.34,2.27,6.76,25.99,5779,43,0.437,0,0.076
1,25,4,False,8.12,2.79,7.03,24.29,4476,20,0.437,0,0.076
1,26,5,True,4.74,3.53,8.47,25.47,6390,25,0.437,0,0.076
1,27,6,True,5.1,3.24,6.1,23.1,6926,27,0.437,0,0.076
1,28,0,False,8.83,3.45,7.16,25.07,2728,31,0.437,0,0.076
1,29,1,False,9.55,1.89,5.82,23.26,5658,45,0.437,0,0.076
1,30,2,False,10.88,2.32,6.94,24.43,6207,33,0.437,0,0.076
1,31,3,False,9.16,3.82,7.48,23.07,6819,38,0.437,0,0.076
1,32,4,False,9.17,3.49,6.62,24.13,5807,8,0.437,0,0.076
1,33,5,True,3.67,2.41,5.91,25.16,6944,28,0.437,0,0.076
1,34,6,True,3.18,2.99,7.98,23.27,6181,37,0.437,0,0.076
1,35,0,False,6.92,2.78,6.03,23.85,4873,30,0.437,0,0.076
1,36,1,False,10.78,2.62,6.71,25.63,4800,47,0.437,0,0.076
1,37,2,False,8.86,3.88,7.15,24.22,5527,22,0.437,0,0.076
1,38,3,False,8.93,3.35,6.43,23.7,5249,39,0.437,0,0.076
1,39,4,False,10.08,2.41,5.8,24.28,7917,40,0.437,0,0.076
1,40,5,True,2.5,2.65,6.15,23.74,8595,14,0.437,0,0.076
1,41,6,True,2.13,2.31,7.31,24.48,6844,40,0.437,0,0.076
1,42,0,False,7.09,3.52,6.14,24.57,3640,29,0.437,0,0.076
1,43,1,False,9.09,3.5,4.93,23.99,3997,34,0.437,0,0.076
1,44,2,False,9.63,3.58,5.93,24.74,7667,12,0.437,0,0.076
1,45,3,False,9.47,3.39,6.19,22.95,7040,17,0.437,0,0.076
1,46,4,False,8.68,2.79,7.12,23.44,4598,30,0.437,0,0.076
1,47,5,True,4.75,4.18,5.61,24.22,4558,39,0.437,0,0.076
1,48,6,True,2.81,2.41,6.48,23.9,6673,33,0.437,0,0.076
1,49,0,False,8.85,2.01,7.13,23.92,7368,22,0.437,0,0.076
1,50,1,False,7.25,2.79,7.67,24.1,5326,20,0.437,0,0.076
1,51,2,False,10.61,2.19,5.75,24.44,2841,41,0.437,0,0.076
1,52,3,False,9.48,3.35,6.97,23.83,4031,27,0.437,0,0.076
1,53,4,False,7.88,3.1,7.2,25.2,6183,38,0.437,0,0.076
1,54,5,True,3.45,2.52,7.49,23.64,6592,18,0.437,0,0.076
1,55,6,True,2.87,3.19,7.88,23.14,7194,23,0.437,0,0.076
2,0,0,False,10.26,4.28,5.19,23.27,6637,23,0.546,0,0.356
2,1,1,False,7.11,3.01,5.36,24.94,8249,20,0.546,0,0.356
2,2,2,False,10.05,3.57,5.12,23.74,4382,15,0.546,0,0.356
2,3,3,False,8.72,3.18,4.94,23.72,5883,28,0.546,0,0.356
2,4,4,False,9.89,3.38,5.93,22.74,6791,22,0.546,0,0.356
2,5,5,True,3.8,3.18,8.0,24.97,7011,33,0.546,0,0.356
2,6,6,True,4.85,2.66,7.4,24.05,6378,30,0.546,0,0.356
2,7,0,False,9.68,3.0,5.88,23.52,8636,25,0.546,0,0.356
2,8,1,False,9.63,3.35,4.72,23.36,4406,31,0.546,0,0.356
2,9,2,False,8.25,3.22,6.31,24.77,5915,25,0.546,0,0.356
2,10,3,False,11.13,4.17,6.95,24.52,6213,33,0.546,0,0.356
2,11,4,False,9.3,3.48,5.27,24.04,7967,28,0.546,0,0.356
2,12,5,True,4.7,2.79,5.13,25.74,12227,30,0.546,0,0.356
2,13,6,True,2.88,2.68,7.05,25.47,6673,25,0.546,0,0.356
2,14,0,False,9.66,3.66,5.56,22.72,8652,37,0.546,0,0.356
2,15,1,False,9.38,3.38,5.43,23.4,9260,30,0.546,0,0.356
2,16,2,False,9.95,4.04,4.83,23.68,7957,20,0.546,0,0.356
2,17,3,False,10.25,3.03,4.89,24.26,7976,35,0.546,0,0.356
2,18,4,False,9.86,3.42,6.25,24.02,6646,29,0.546,0,0.356
2,19,5,True,3.87,4.15,7.91,24.8,9060,25,0.546,0,0.356
2,20,6,True,2.94,3.01,6.63,24.42,9197,35,0.546,0,0.356
2,21,0,False,8.77,2.73,7.43,24.93,7134,25,0.546,0,0.356
2,22,1,False,9.36,3.16,6.41,26.6,8005,32,0.546,0,0.356
2,23,2,False,7.78,2.85,7.2,24.58,1137,33,0.546,0,0.356
2,24,3,False,11.38,1.94,7.5,21.58,9128,26,0.546,0,0.356
2,25,4,False,7.11,3.41,7.11,24.55,8598,22,0.546,0,0.356
2,26,5,True,2.34,3.55,8.34,25.27,5511,11,0.546,0,0.356
2,27,6,True,3.36,2.18,6.57,24.57,6347,34,0.546,0,0.356
2,28,0,False,10.06,2.81,5.74,22.36,7222,26,0.546,0,0.356
2,29,1,False,9.63,3.37,6.17,23.95,8150,36,0.546,0,0.356
2,30,2,False,9.37,3.33,5.73,23.59,8505,20,0.546,0,0.356
