person_id,cluster,burnout
0,1,0
1,1,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1,0
7,1,0
8,0,0
9,0,1
10,1,0
11,0,1
12,0,1
13,1,0
14,0,1
15,1,1
16,1,0
17,1,0
18,0,0
19,0,1
20,0,0
21,1,0
22,0,0
23,1,0
24,0,0
25,0,0
26,1,0
27,0,1
28,1,0
29,0,1
30,1,0
31,0,1
32,1,0
33,1,0
34,0,1
35,1,0
36,1,0
37,0,1
38,1,0
39,0,0
40,0,1
41,0,0
42,1,0
43,1,0
44,1,0
45,1,0
46,0,1
47,0,1
48,1,0
49,1,0
50,0,1
51,0,0
52,0,1
53,0,0
54,0,0
55,1,0
56,1,0
57,0,1
58,0,1
59,1,0
60,0,1
61,1,0
62,1,0
63,1,0
64,1,0
65,0,0
66,1,0
67,0,0
68,1,0
69,0,1
70,1,0
71,1,0
72,1,0
73,0,0
74,0,1
75,0,1
76,0,1
77,0,0
78,0,0
79,0,1
80,1,0
81,0,1
82,0,0
83,1,1
84,0,1
85,1,0
86,0,0
87,0,0
88,0,1
89,0,0
90,0,0
91,0,1
92,0,1
93,1,0
94,1,0
95,1,0
96,0,1
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,0,1
103,1,0
104,1,0
105,1,0
106,0,1
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,0,1
114,0,1
115,0,1
116,0,1
117,1,0
118,0,0
119,1,0
120,0,0
121,0,0
122,0,0
123,1,0
124,0,0
125,0,1
126,1,0
127,1,0
128,0,1
129,1,0
130,1,0
131,1,0
132,0,0
133,0,1
134,0,1
135,0,1
136,1,0
137,0,0
138,0,0
139,0,0
140,0,1
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,0,1
147,0,1
148,0,1
149,0,1
150,1,0
151,1,0
152,0,1
153,0,1
154,0,0
155,1,0
156,1,0
157,0,0
158,0,0
159,0,1
160,1,0
161,0,1
162,0,1
163,0,1
164,1,0
165,0,0
166,1,0
167,1,0
168,0,1
169,1,0
170,1,1
171,0,1
172,1,0
173,1,0
174,1,0
175,0,1
176,1,0
177,0,1
178,0,1
179,0,0
180,1,0
181,1,0
182,0,1
183,1,0
184,1,0
185,0,1
186,0,1
187,0,1
188,1,0
189,1,0
190,1,0
191,1,0
192,0,1
193,0,0
194,1,0
195,0,0
196,1,0
197,1,0
198,1,0
199,1,0
200,0,1
201,1,0
202,1,0
203,0,1
204,1,0
205,0,0
206,1,0
207,0,0
